X,CH1,CH2,CH3,Start,Increment
Sequence,Volt,Volt,Volt,-1.19E-04,2.00E-07
0,1.60E+00,1.60E+01,1.61E+01,,
1,1.56E+00,1.63E+01,1.60E+01,,
2,1.60E+00,1.63E+01,1.61E+01,,
3,1.56E+00,1.60E+01,1.58E+01,,
4,1.56E+00,1.64E+01,1.57E+01,,
5,1.64E+00,1.58E+01,1.62E+01,,
6,1.60E+00,1.62E+01,1.59E+01,,
7,1.58E+00,1.60E+01,1.58E+01,,
8,1.60E+00,1.60E+01,1.60E+01,,
9,1.56E+00,1.61E+01,1.58E+01,,
10,1.60E+00,1.60E+01,1.59E+01,,
11,1.56E+00,1.62E+01,1.58E+01,,
12,1.60E+00,1.61E+01,1.58E+01,,
13,1.56E+00,1.60E+01,1.59E+01,,
14,1.60E+00,1.61E+01,1.59E+01,,
15,1.56E+00,1.60E+01,1.58E+01,,
16,1.60E+00,1.60E+01,1.59E+01,,
17,1.56E+00,1.59E+01,1.58E+01,,
18,1.60E+00,1.60E+01,1.59E+01,,
19,1.56E+00,1.59E+01,1.57E+01,,
20,1.60E+00,1.60E+01,1.57E+01,,
21,1.58E+00,1.59E+01,1.58E+01,,
22,1.60E+00,1.59E+01,1.59E+01,,
23,1.56E+00,1.58E+01,1.57E+01,,
24,1.60E+00,1.59E+01,1.58E+01,,
25,1.58E+00,1.58E+01,1.57E+01,,
26,1.60E+00,1.58E+01,1.58E+01,,
27,1.58E+00,1.59E+01,1.57E+01,,
28,1.60E+00,1.59E+01,1.58E+01,,
29,1.56E+00,1.57E+01,1.56E+01,,
30,1.60E+00,1.59E+01,1.57E+01,,
31,1.56E+00,1.58E+01,1.57E+01,,
32,1.60E+00,1.57E+01,1.57E+01,,
33,1.58E+00,1.58E+01,1.56E+01,,
34,1.60E+00,1.57E+01,1.56E+01,,
35,1.58E+00,1.58E+01,1.57E+01,,
36,1.58E+00,1.56E+01,1.57E+01,,
37,1.60E+00,1.58E+01,1.56E+01,,
38,1.24E+00,1.38E+01,1.36E+01,,
39,1.88E+00,1.89E+01,1.86E+01,,
40,1.52E+00,1.59E+01,1.62E+01,,
41,1.64E+00,1.54E+01,1.55E+01,,
42,1.62E+00,1.59E+01,1.57E+01,,
43,1.56E+00,1.56E+01,1.59E+01,,
44,1.58E+00,1.56E+01,1.58E+01,,
45,1.60E+00,1.57E+01,1.59E+01,,
46,1.60E+00,1.57E+01,1.59E+01,,
47,1.56E+00,1.55E+01,1.58E+01,,
48,1.60E+00,1.56E+01,1.59E+01,,
49,1.56E+00,1.56E+01,1.60E+01,,
50,1.60E+00,1.55E+01,1.59E+01,,
51,1.58E+00,1.56E+01,1.60E+01,,
52,1.60E+00,1.54E+01,1.59E+01,,
53,1.58E+00,1.56E+01,1.61E+01,,
