X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,7.42E-05,2.00E-09
0,1.54E+01,2.00E-01,,
1,1.58E+01,-2.00E-01,,
2,1.56E+01,2.00E-01,,
3,1.56E+01,2.00E-01,,
4,1.54E+01,-2.00E-01,,
5,1.56E+01,2.00E-01,,
6,1.56E+01,-2.00E-01,,
7,1.58E+01,2.00E-01,,
8,1.54E+01,-2.00E-01,,
9,1.58E+01,2.00E-01,,
10,1.56E+01,2.00E-01,,
11,1.56E+01,2.00E-01,,
12,1.56E+01,-2.00E-01,,
13,1.56E+01,2.00E-01,,
14,1.56E+01,-2.00E-01,,
15,1.56E+01,2.00E-01,,
16,1.54E+01,2.00E-01,,
17,1.56E+01,2.00E-01,,
18,1.56E+01,2.00E-01,,
19,1.58E+01,2.00E-01,,
20,1.56E+01,-2.00E-01,,
21,1.56E+01,2.00E-01,,
22,1.56E+01,2.00E-01,,
23,1.58E+01,-2.00E-01,,
24,1.54E+01,2.00E-01,,
25,1.58E+01,2.00E-01,,
26,1.56E+01,2.00E-01,,
27,1.56E+01,2.00E-01,,
28,1.54E+01,-2.00E-01,,
29,1.58E+01,2.00E-01,,
30,1.56E+01,2.00E-01,,
31,1.58E+01,2.00E-01,,
32,1.54E+01,2.00E-01,,
33,1.56E+01,2.00E-01,,
34,1.56E+01,-2.00E-01,,
35,1.58E+01,2.00E-01,,
36,1.54E+01,2.00E-01,,
37,1.56E+01,2.00E-01,,
38,1.56E+01,2.00E-01,,
39,1.58E+01,-2.00E-01,,
40,1.54E+01,2.00E-01,,
41,1.56E+01,2.00E-01,,
42,1.56E+01,2.00E-01,,
43,1.58E+01,2.00E-01,,
44,1.54E+01,-2.00E-01,,
45,1.58E+01,2.00E-01,,
46,1.56E+01,2.00E-01,,
47,1.58E+01,2.00E-01,,
48,1.54E+01,2.00E-01,,
49,1.58E+01,2.00E-01,,
50,1.56E+01,2.00E-01,,
51,1.58E+01,2.00E-01,,
52,1.54E+01,-2.00E-01,,
53,1.58E+01,2.00E-01,,
54,1.56E+01,2.00E-01,,
55,1.58E+01,-2.00E-01,,
56,1.54E+01,2.00E-01,,
57,1.56E+01,2.00E-01,,
58,1.56E+01,2.00E-01,,
59,1.58E+01,2.00E-01,,
60,1.54E+01,-2.00E-01,,
61,1.56E+01,2.00E-01,,
62,1.56E+01,2.00E-01,,
63,1.58E+01,2.00E-01,,
64,1.56E+01,2.00E-01,,
65,1.58E+01,2.00E-01,,
66,1.56E+01,2.00E-01,,
67,1.58E+01,2.00E-01,,
68,1.56E+01,-2.00E-01,,
69,1.56E+01,2.00E-01,,
70,1.56E+01,2.00E-01,,
71,1.56E+01,2.00E-01,,
72,1.56E+01,-2.00E-01,,
73,1.58E+01,2.00E-01,,
74,1.56E+01,2.00E-01,,
75,1.58E+01,-2.00E-01,,
76,1.54E+01,2.00E-01,,
77,1.56E+01,2.00E-01,,
78,1.56E+01,2.00E-01,,
79,1.58E+01,2.00E-01,,
80,1.54E+01,-2.00E-01,,
81,1.56E+01,2.00E-01,,
82,1.56E+01,2.00E-01,,
83,1.56E+01,2.00E-01,,
84,1.56E+01,-2.00E-01,,
85,1.58E+01,2.00E-01,,
86,1.56E+01,2.00E-01,,
87,1.58E+01,2.00E-01,,
88,1.54E+01,2.00E-01,,
89,1.56E+01,2.00E-01,,
90,1.56E+01,2.00E-01,,
91,1.56E+01,2.00E-01,,
92,1.56E+01,-2.00E-01,,
93,1.56E+01,2.00E-01,,
94,1.56E+01,2.00E-01,,
95,1.56E+01,-2.00E-01,,
96,1.54E+01,2.00E-01,,
97,1.58E+01,2.00E-01,,
98,1.56E+01,2.00E-01,,
99,1.58E+01,2.00E-01,,
100,1.54E+01,-2.00E-01,,
101,1.56E+01,2.00E-01,,
102,1.56E+01,2.00E-01,,
103,1.58E+01,2.00E-01,,
104,1.54E+01,-2.00E-01,,
105,1.58E+01,2.00E-01,,
106,1.56E+01,2.00E-01,,
107,1.58E+01,2.00E-01,,
108,1.54E+01,2.00E-01,,
109,1.56E+01,2.00E-01,,
110,1.56E+01,2.00E-01,,
111,1.58E+01,2.00E-01,,
112,1.54E+01,-2.00E-01,,
113,1.58E+01,2.00E-01,,
114,1.56E+01,2.00E-01,,
115,1.58E+01,2.00E-01,,
116,1.56E+01,2.00E-01,,
117,1.56E+01,2.00E-01,,
118,1.56E+01,2.00E-01,,
119,1.56E+01,2.00E-01,,
120,1.54E+01,2.00E-01,,
121,1.56E+01,2.00E-01,,
122,1.56E+01,2.00E-01,,
123,1.58E+01,2.00E-01,,
124,1.54E+01,-2.00E-01,,
125,1.56E+01,2.00E-01,,
126,1.56E+01,2.00E-01,,
127,1.58E+01,2.00E-01,,
128,1.54E+01,-2.00E-01,,
129,1.56E+01,2.00E-01,,
130,1.56E+01,2.00E-01,,
131,1.56E+01,2.00E-01,,
132,1.54E+01,2.00E-01,,
133,1.56E+01,2.00E-01,,
134,1.56E+01,2.00E-01,,
135,1.58E+01,2.00E-01,,
136,1.56E+01,2.00E-01,,
137,1.56E+01,2.00E-01,,
138,1.56E+01,2.00E-01,,
139,1.58E+01,2.00E-01,,
140,1.54E+01,-2.00E-01,,
141,1.58E+01,2.00E-01,,
142,1.56E+01,2.00E-01,,
143,1.58E+01,2.00E-01,,
144,1.54E+01,2.00E-01,,
145,1.58E+01,2.00E-01,,
146,1.56E+01,2.00E-01,,
147,1.58E+01,2.00E-01,,
148,1.54E+01,-2.00E-01,,
149,1.56E+01,2.00E-01,,
150,1.56E+01,2.00E-01,,
151,1.58E+01,2.00E-01,,
152,1.54E+01,-2.00E-01,,
153,1.56E+01,2.00E-01,,
154,1.56E+01,2.00E-01,,
155,1.58E+01,2.00E-01,,
156,1.54E+01,-2.00E-01,,
157,1.56E+01,2.00E-01,,
158,1.56E+01,2.00E-01,,
159,1.58E+01,-2.00E-01,,
160,1.56E+01,2.00E-01,,
161,1.58E+01,2.00E-01,,
162,1.56E+01,2.00E-01,,
163,1.58E+01,2.00E-01,,
164,1.54E+01,2.00E-01,,
165,1.58E+01,2.00E-01,,
166,1.56E+01,2.00E-01,,
167,1.58E+01,2.00E-01,,
168,1.54E+01,2.00E-01,,
169,1.58E+01,2.00E-01,,
170,1.56E+01,2.00E-01,,
171,1.58E+01,2.00E-01,,
172,1.54E+01,-2.00E-01,,
173,1.56E+01,2.00E-01,,
174,1.56E+01,2.00E-01,,
175,1.58E+01,2.00E-01,,
176,1.54E+01,2.00E-01,,
177,1.56E+01,2.00E-01,,
178,1.56E+01,2.00E-01,,
179,1.56E+01,2.00E-01,,
180,1.56E+01,-2.00E-01,,
181,1.56E+01,2.00E-01,,
182,1.56E+01,2.00E-01,,
183,1.56E+01,2.00E-01,,
184,1.54E+01,2.00E-01,,
185,1.56E+01,2.00E-01,,
186,1.56E+01,2.00E-01,,
187,1.58E+01,2.00E-01,,
188,1.56E+01,-2.00E-01,,
189,1.56E+01,2.00E-01,,
190,1.56E+01,2.00E-01,,
191,1.58E+01,2.00E-01,,
192,1.54E+01,2.00E-01,,
193,1.58E+01,2.00E-01,,
194,1.56E+01,2.00E-01,,
195,1.56E+01,2.00E-01,,
196,1.56E+01,-2.00E-01,,
197,1.56E+01,4.00E-01,,
198,1.56E+01,2.00E-01,,
199,1.58E+01,-2.00E-01,,
200,1.54E+01,2.00E-01,,
201,1.58E+01,-2.00E-01,,
202,1.56E+01,2.00E-01,,
